Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Opis,Vrednost,Način določitve vrednosti,Razlog za izročitev,Lastnik darila
2015-06-05,"Eko sklad, Slovenski okoljski javni sklad",državni organ/lokalna skupnost/nosilec javnih pooblastil,segrap d.o.o.,priložnostno,neposredno,letna karta 2015 wellnes,450,OSEBNA NESTROKOVNA OCENA,"OTVORITEV RAZSTAVE ""SČOPIČEM PO SLOVENIJI DO LJUBLJANE""","organizacija, v kateri funkcionar opravlja funkcijo"
2022-08-09,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"RECEP TAYYIP ERDOGAN, PREDSEDNIK TÜRKIYE",protokolarno,posredno,VAZA IZ PORCELANA,450,LAIČNA,PRILOŽNOSTNO,"organizacija, v kateri funkcionar opravlja funkcijo"
2017-02-14,BANKA SLOVENIJE,funkcionar,guverner - Slovaška centralna banka,priložnostno,neposredno,zlati zbirateljski kovanec - 275 obletnica kronanja Marije Terezije,428,lastna ocena,udeležba na mednarodnem dogodku,"organizacija, v kateri funkcionar opravlja funkcijo"
2014-01-17,OBČINA AJDOVŠČINA,državni organ/lokalna skupnost/nosilec javnih pooblastil,"farming turizem vidmar d.o.o., kovk 19/a",priložnostno,neposredno,"slika na platnu ""miza s hišo, rožo in vrtom"", avtor Črt frelih",400,osebna nestrokovna ocena,delovni obisk ministrice za obrambo rs andreje katič v ZDA,"organizacija, v kateri funkcionar opravlja funkcijo"
2014-03-13,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,predsednik madžarske republike janos ader,protokolarno,neposredno,"porcelanast set za čaj - čajnik, šalice, posodica za sladkor in mleko",400,vrednosti z nestrokovno oceno ni mogoče določiti,sprejem delegacije odbora ep za regionalni razvoj,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-01-13,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"ŠEJK ABDULLAH BIN MOHAMMED BIN SAUD AL THANI, PREDSEDNIK QATAR INVESTMENT AUTHORITY",protokolarno,neposredno,POZLAČENA JADRNICA,400,nestrokovna ocena,uradni obisk pv rs v republiki makedoniji,država
2015-03-13,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,MINISTER ZA OBRAMBO REPUBLIKE AZERBAJDŽAN,protokolarno,neposredno,TEPIH,400,osebna nestrokovna ocena,zahvala za podporo zakonu o povračilu premoženjske škode iz 2. svetovne vojne,funkcionar
2015-04-20,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,veleposlanik lr kitajske v rs,priložnostno,neposredno,mobilni telefonhuawei ascend mate7,400,osebna nestrokovna ocena,zahvala za podporo zakonu o povračilu premoženjske škode iz 2. svetovne vojne,funkcionar
2015-10-21,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,"dr. jasna omejec, predsednica us r hrvaške",protokolarno,neposredno,"uokvirjena grafika ""markov trg v zagrebu"" avtorice z. turkalj",400,osebna nestrokovna ocena,zahvala za podporo zakonu o povračilu premoženjske škode iz 2. svetovne vojne,funkcionar
2016-12-16,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"RECEP TAYYIP ERDOĞAN, PREDSEDNIK REPUBLIKE TURČIJE",protokolarno,neposredno,VAZA IZ PORCELANA,400,osebna nestrokovna ocena,zahvala za podporo zakonu o povračilu premoženjske škode iz 2. svetovne vojne,funkcionar
2017-09-04,OBČINA RADOVLJICA,funkcionar,nikolaj mašukov,priložnostno,neposredno,slika,400,osebna nestrokovna ocena,zahvala za podporo zakonu o povračilu premoženjske škode iz 2. svetovne vojne,funkcionar
2018-11-30,MESTNA OBČINA MURSKA SOBOTA,funkcionar,"yukio mori, poslovni partner iz japonske",priložnostno,neposredno,tradicionalna japonska slika na riževem papirju,400,osebna nestrokovna ocena,zahvala za podporo zakonu o povračilu premoženjske škode iz 2. svetovne vojne,funkcionar
2019-06-21,MESTNA OBČINA MURSKA SOBOTA,funkcionar,"peter schnell, nekdanji župan pobratenega mesta ingolstadt, nemčija",protokolarno,neposredno,mapa z umetniškimi deli,400,osebna nestrokovna ocena,zahvala za podporo zakon,funkcionar
2021-03-17,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Uradna oseba,predsednik nacionalnega sveta švicarske konfederacije andreas aebi,protokolarno,neposredno,glasbena skrinjica,400,osebna nestrokovna ocena,zahvala za podporo zakonu o povračilu premoženjske škode iz 2. svetovne vojne,funkcionar
2021-06-01,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Družinski član uradne osebe,"MARCELO REBELO DE SOUSA, PORTUGALSKI PREDSEDNIK",protokolarno,neposredno,ZLATI VISEČI UHANI,400,osena nestrokovna ocena,zahvala za podporo zakonu o povračilu premoženjske škode iz 2. svetovne vojne,darilo je bilo vrnjeno obdarovalcu
2021-11-04,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"mOHAMMED BIN ABDULRAHMAN AL-THANI, NAMESTNIK PREDSEDNIKA VLADE IN MINISTER ZA ZUNANJE ZADEVE KATARJA",protokolarno,neposredno,POZLAČEN KIP KONJA,400,osebna nestrokovna ocena,zahvala za podporo zakonu o povračilu premoženjske škode iz 2. svetovne vojne,darilo je bilo vrnjeno obdarovalcu
2022-05-16,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,Uradna oseba,NJEGOVA VISOKOST EMIR DRŽAVE KATAR ŠEJK Tamim bin Mohamad Al-Thani,protokolarno,posredno,POZLAČEN KONJ-KIPEC,400,osebna nestrokovna ocena,zahvala za podporo zakonu o povračilu premoženjske škode iz 2. svetovne vojne,darilo je bilo vrnjeno obdarovalcu
2022-07-07,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"LEON ZAKRAJŠEK, SLOVENSKI SLIKAR IN GRAFIK",priložnostno,posredno,"SLIKA, MONOTOPIJA",400,osebna nestrokovna ocena,zahvala za podporo zakonu o povračilu premoženjske škode iz 2. svetovne vojne,darilo je bilo vrnjeno obdarovalcu
2021-06-04,Ministrstvo za gospodarski razvoj in tehnologijo,Uradna oseba,"DENIS MANTUROV, RUSKI MINISTER ZA TRGOVINO",protokolarno,neposredno,SET SKODELIC ZA KAVO,395,OSEBNA NESTROKOVNA OCENA,OBISK ŽUPANA V ISTANBULU,"organizacija, v kateri funkcionar opravlja funkcijo"
2019-10-01,ZAVOD ZA ZDRAVSTVENO ZAVAROVANJE SLOVENIJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,odvetniška pisarna Šafar,priložnostno,neposredno,The Empoyment Law Review,393,OSEBNA NESTROKOVNA OCENA,"UDELEŽBA NA SLOVESNOSTI NA MOSTU LJUBEZNI, MIRU IN HARMONIJE",država
2015-03-24,OBČINA LENDAVA - LENDVA KÖZSEG,funkcionar,"daihen corporation, japonska",protokolarno,neposredno,kristalna vaza,391,OSEBNA NESTROKOVNA OCENA,"UDELEŽBA NA SLOVESNOSTI NA MOSTU LJUBEZNI, MIRU IN HARMONIJE",država
2020-12-14,MINISTRSTVO ZA ZUNANJE ZADEVE,državni organ/lokalna skupnost/nosilec javnih pooblastil,NEW ERA PUBLICATIONS INTERNATIONAL,priložnostno,posredno,V USNJE VEZANA KNJIGA Z NASLOVOM: DIANETIKA (Sodobna znanost o umskem zdravju),370,osebna nestrokovna ocena,bilateralne konzultacije ds štiglic v tallinnu,"organizacija, v kateri funkcionar opravlja funkcijo"
2014-12-04,MESTNA OBČINA KRANJ,funkcionar,protim ržišnik perc,priložnostno,neposredno,maketa centralne čistilne naprave kranj,370,preverjanje cene na trgu,poslovno darilo,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-10-25,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Ekaterina ZAHARIEVA, podpredsednica vlade za reformo pravosodja in ministrica za zunanje zadeve Republike Bolgarije",protokolarno,neposredno,"replika skodelice Chiprovske zlatarske šole iz XVI. stoletja, ročno kovana, posrebrena s pozlatom",360,osebna nestrokovna ocena,mešana gospodarska komisija Slo-črna gora,"organizacija, v kateri funkcionar opravlja funkcijo"
2014-03-11,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"Oguz Aydemir, predsednik turške fundacije TINA,Ali Riza Isipek, avtor razstave Piri Reis",priložnostno,neposredno,"UOKVIRJENA SLIKA,RUTA,OBESEK IN KNJIGA (NASLOV: A PICTURESQUE VOYAGE TO CONSTANTINOPOLE AND THE SHORES OF THE BOSPHORUS",350,osebna nestrokovna ocena,protokolarni obisk,lokalna skupnost
2015-01-13,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,DIREKTOR KLINIKE AL ATTAR,protokolarno,neposredno,POZLAČENA SABLJA Z LESENIM ROČAJEM,350,cena navedena na knjigi,knjiga predana ob srečanju,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-03-30,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"RECEP TAYYIP ERDOĞAN, PREDSEDNIK REPUBLIKE TURČIJE",protokolarno,neposredno,DEKORATIVNA VAZA NA PODSTAVKU,350,osebna nestrokovna ocena,sprejem za zimske športnike,država
2016-07-18,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"GIORGI MARGVELASHVILI, PREDSEDNIK GRUZIJE",protokolarno,neposredno,"ROČNO DELO SLIKA ""OLD TBILISI""",350,Internet,Sestanek,"organizacija, v kateri funkcionar opravlja funkcijo"
2017-02-10,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,PR RF VLADIMIR PUTIN,protokolarno,neposredno,"PORCELAN RDEČE BELE BARVE V MODRI ŠKATLI- 6 ŠALIC ZA KAVO, 6 DESERTNIH KROŽNIKOV",350,osebna nestrokovna ocena,sprejem delegacije regije orel v državnem svetu,"organizacija, v kateri funkcionar opravlja funkcijo"
2019-01-30,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,družinski član funkcionarja,ga. sophie habsburg,protokolarno,neposredno,usnjena torbica,350,OSEBNA NESTROKOVNA OCENA,SPREJEM V MESTNI HIŠI,"organizacija, v kateri funkcionar opravlja funkcijo"
2019-10-30,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Mansour bin ZAYED AL NAHYAN, podpredsednik vlade in minister za predsedniške zadeve Združenih arabskih emiratov",protokolarno,posredno,posrebren arabski konj v skrinji,350,osebna,obisk delegacije pokrajine na mgrt,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-09-01,DVOJEZIČNA OSNOVNA ŠOLA GENTEROVCI Gonterhazi Ketnyelvu Altalanos Iskola,državni organ/lokalna skupnost/nosilec javnih pooblastil,pomurska madžarska samoupravna narodna skupnost,priložnostno,posredno,knjige,320,cena navedena na knjigah,priložnostno-obisk občine žalec,lokalna skupnost
2017-09-20,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,predsednik vri slovaške,protokolarno,neposredno,pomanjšana replika delov oltarja sv. jakoba srebro,310,preverjeno na spletu,priložnostno,lokalna skupnost
2018-01-22,MINISTRSTVO ZA PRAVOSODJE,funkcionar,"Kuala Lumpur Regional Centre for arbitration, bangunan sulaiman jalan sultan hishamuddin, 50000 Kuala lumpur malaysia",priložnostno,posredno,"Knjiga:law, practice and procedure of arbitration , sundra rajoo (secon edition)",308,preverjena cena na trgu,udeležba ministrice za obrambo rs na uradnem sprejemu svetovnega pokala v biatlonu,"organizacija, v kateri funkcionar opravlja funkcijo"
2022-03-16,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"Ramtane Lamamra, minister za zunanje zadeve ljudske republike alžirije",protokolarno,neposredno,"KNJIGA ""ZIANI ILLUMINATING HISTORY - INTERVIEW WITH FRANCOIS POUILLON""",306,OSEBNA NESTROKOVNA OCENA,PRILOŽNOSTNO,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-10-20,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"János ÁDER, predsednik Republike Madžarske",protokolarno,posredno,spominski srebrnik - 1000. obletnica nastanka Madžarske,305,osebna nestrokovna ocena,/,"organizacija, v kateri funkcionar opravlja funkcijo"
2014-01-14,MESTNA OBČINA NOVO MESTO,državni organ/lokalna skupnost/nosilec javnih pooblastil,MESTO LANGENHAGEN,protokolarno,neposredno,GRAFIČNI LISTI,300,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V IRANU,država
2014-01-17,OBČINA AJDOVŠČINA,državni organ/lokalna skupnost/nosilec javnih pooblastil,"farming turizem vidmar d.o.o., kovk 19a",priložnostno,neposredno,"slika na platnu ""the wiev prints"" avtor Polona kunaver ličen",300,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V IRANU,država
2014-02-18,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"GA. PRENEET KAUR, MINISTRICA ZA ZUNANJE ZADEVE INDIJE",priložnostno,posredno,PREPROGA IZ SVILE,300,osebna nestrokovna ocena,srečanje ob uradnem obisku s predsednikom RS v iranu,"organizacija, v kateri funkcionar opravlja funkcijo"
2014-02-21,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,nadja zikes,priložnostno,neposredno,slika,300,osebna nestrokovna ocena,iransko-slovenska poslovna konferenca ob uradnem obisku v iranu,"organizacija, v kateri funkcionar opravlja funkcijo"
2014-03-13,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,japonski princ in princesa,protokolarno,neposredno,porcelanasta vaza,300,osebna nestrokovna ocena,iransko-slovenska poslovna konferenca ob uradnem obisku v iranu,"organizacija, v kateri funkcionar opravlja funkcijo"
2014-03-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,avstrijski predsednik dr. heinz fisher,protokolarno,neposredno,"porcelan - vrč za kavo, 6 šalčk in sladkornica",300,vrednosti z nestrokovno oceno ni mogoče določiti,obisk odbora državnega zbora za zunanje zadeve v narodni skupščini republike srbije,"organizacija, v kateri funkcionar opravlja funkcijo"
2014-03-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"preneet kaur, mzz indije",protokolarno,neposredno,preproga,300,cena napisana na knjigi,udeležba predsednika vlade na slavnostnem odprtju nove osnovne šole v tržišču,funkcionar
2014-03-31,MINISTRSTVO ZA KULTURO,funkcionar,branko suhy,priložnostno,neposredno,"grafični list - akvatinta, 103x67 cm, chocola slovenia VIII/XX",300,"cena preverjena na trgu, nestrokovna ocena",UDELEŽBA PREDSEDNIKA VLADE NA SLAVNOSTNEM ODPRTJU NOVE OSNOVNE ŠOLE V TRŽIŠČU,funkcionar
2014-11-04,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednik republike albanije bujar nishani,protokolarno,posredno,okvirjena replika glasbenega inštrumenta iz srebra,300,vrednosti z nestrokovno oceno ni mogoče določiti,uradni obisk delegacije ps bih v republiki sloveniji,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-02-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"ABDULLAH GÜL, PREDSEDNIK REPUBLIKE TURČIJE",protokolarno,neposredno,MADALJONASTA VAZA S POSLIKAVO,300,osebna nestrokovna ocena,uradni obisk delegacije parlamenta bih v sloveniji,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-02-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"ignazio marino, župan mesta rim",protokolarno,neposredno,voljkulja z romulom in remom iz brona,300,internetni viri,sprejem ob dogodku,funkcionar
2015-02-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"sushma swaraj, mzz indije",protokolarno,neposredno,manjša lesena španska stena,300,osebna nestrokovna ocena,"tradicionalno srečanje županov dolenjske, bele krajine in posavja s tv vaš kanal",funkcionar
2015-02-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"BUJAR NISHANI, PREDSEDNIK ALBANIJE",protokolarno,neposredno,PODOBA MATI TEREZIJE IZ MEDENINE,300,nestrokovna ocena,uradni obisk članov kolegija PREDSTAVNIŠKEGA DOMA PARLAMENTARNE SKUPŠČINE BOSNE IN HERCEGOVINE v republiki sloveniji,država
2015-02-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"JOACHIM GAUCK, PREDSEDNIK ZRN",protokolarno,neposredno,NALIVNO PERO IN KEMIK ACHIM DELTE,300,preverjena cena na trgu,/,funkcionar
2015-04-07,MESTNA OBČINA NOVO MESTO,državni organ/lokalna skupnost/nosilec javnih pooblastil,"adrzej rakowicz, podžupan mesta torun (poljska)",protokolarno,neposredno,"umetniško delo (akvarel), obrežje visle",300,preverjena cena na trgu,/,funkcionar
2015-05-05,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"NIKOLAI NIKIFOLOV, MINISTER ZA TELEKOMUNIKACIJE",protokolarno,neposredno,MOBITEL ZNAMKE YOTAPHONE,300,preverjena cena na trgu,/,funkcionar
2015-06-22,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"VP MALEZIJE, NJ. EKSC. MOHAMAD SADIK BIN KETHERGANY",protokolarno,neposredno,"SIMBOLI MALEZIJE IZ KOSITRA IN ZLATA - BAJU MELAYU OBLEKA, TENGKOLOK SULTANOVO NAGLAVNO POKRIVALO, KERIS OROŽJE",300,preverjena cena na trgu,/,funkcionar
2015-07-25,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"DIMITRIJ MEDVEDJEV, PV RUSIJE",protokolarno,neposredno,"SVEČNIK JELEN, SREBRN NAMIZNI SVEČNIK S ŠTIRIMI DRŽALI ZA SVEČE S POZLAČENO PODOBO JELENA NA DEKORATIVNEM PODSTAVKU",300,preverjena cena na trgu,/,funkcionar
2015-08-07,OBČINA ZAGORJE OB SAVI,funkcionar,"občina aleksinac, knjaza miloša 169, 18220 aleksinac",protokolarno,neposredno,slika,300,cena preverjena na trgu,/,funkcionar
2015-09-04,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK MADŽARSKE JANOS ADER,protokolarno,neposredno,KERAMIČNA VAZA,300,cena preverjena na trgu,/,funkcionar
2015-09-17,Ministrstvo za gospodarski razvoj in tehnologijo,državni organ/lokalna skupnost/nosilec javnih pooblastil,DELEGACIJA ZDRUŽENIH ARABSKIH EMIRATOV,protokolarno,neposredno,ROČNO IZDELANA LESENA LADJA,300,cena preverjena na trgu,/,funkcionar
2016-02-17,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"MILOŠ ZEMAN, PREDSEDNIK ČEŠKE REPUBLIKE",protokolarno,neposredno,dekorativna kristalna vaza,300,cena preverjena na trgu,/,funkcionar
2016-02-29,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednica republike litve gospa dalia grybauskaite,protokolarno,neposredno,zbirka srebrnikov v škatli,300,cena na knjigi,kandidat za ustavnega sodnika rs,funkcionar
2016-04-22,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"ANDRZEJ DUDA, PR POLJSKE",protokolarno,neposredno,UMETNIŠKO DELO - SLIKA VARŠAVE,300,cena na knjigi,kandidat za ustavnega sodnika republike slovenije,funkcionar
2016-06-23,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,KOLINDA GRABAR KITAROVIĆ,protokolarno,neposredno,UMETNIŠKO DELO - SLIKA,300,cena na knjigi,kandidat za ustavnega sodnika rs,funkcionar
2017-02-11,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,GUBERNATOR SAINT PETERSBURG GEORGY POLTAVCHENKO,protokolarno,neposredno,PORCELAN - SET ZA ČAJ V MODRO BELI BARVI,300,cena na knjigi,kandidat za ustavnega sodnika republike slovenije,funkcionar
2017-02-13,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"GEORGY POLTAVCHENKO, GUBERNATOR ST. PETERBURGA",protokolarno,neposredno,"SLIKA V OKVIRJU POKRAJINE V RUSIJI, KNJIGA IN KIPEC",300,cena na knjigi,48,funkcionar
2018-03-09,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,sultan ahmed bin sulayem,priložnostno,neposredno,kipec sokola na podstavku,300,cena na knjigi,kandidat za ustavnega sodnika republike slovenije,funkcionar
2018-05-15,BANKA SLOVENIJE,funkcionar,Centralna banka Turčije,protokolarno,neposredno,steklena skleda - Karya bowl,300,osebna nestrokovna oseba,protokolarno,država
2019-01-28,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"ALEKSANDAR VUČIĆ, PREDSEDNIK REPUBLIKE SRBIJE",protokolarno,neposredno,tepih zelenskaste barve,300,na podlagi podatka darovalca,izdaja nove knjige avtorja,funkcionar
2019-06-27,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,njegova svetost papež frančišek,protokolarno,neposredno,keramična plošča z motivom bazilike sv. petra in zbirka pastoralnih pisem,300,cena na knjigah,priložnostno darilo,"organizacija, v kateri funkcionar opravlja funkcijo"
2019-10-03,OBČINA KOČEVJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,občina lubbenau/spreewald,protokolarno,neposredno,"slika na platnu, oukvirjena",300,OSEBNA NESTROKOVNA OCENA,PREDNOVOLETNI OBISK,funkcionar
2019-10-15,OBČINA HRASTNIK,funkcionar,BONPET D.O.O.,protokolarno,neposredno,"GASILNA AMPULA, GASILNA GRANATA",300,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V HAŠEMITSKI KRALJEVINI JORDANIJI,država
2019-12-04,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,PREDSEDSTVO BIH,protokolarno,neposredno,slika mostarja,300,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V HAŠEMITSKI KRALJEVINI JORDANIJI,država
2020-08-31,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,NJ. EKSC. GOSPOD vIKTOR oRBÁN,protokolarno,neposredno,SET ZA KAVO IN ČAJ IZ PORCELANA,300,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V JORDANIJI,država
2021-02-03,MINISTRSTVO ZA OBRAMBO,Uradna oseba,športno društvo pokljuka / organizacijski odbor pokljuka,priložnostno,posredno,"Smučarski kombinezon, ki je promocijske narave z oznako ""biatlon pokljuka""",300,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V JORDANIJI,država
2021-02-03,MINISTRSTVO ZA OBRAMBO REPUBLIKE SLOVENIJE,Uradna oseba,ŠPORTNO DRUŠTVO POKLJUKA / ORGANIZACIJSKI ODBOR POKLJUKA,priložnostno,posredno,"smučarski kombinezon, ki je promocijske narave z oznako ""biatlon pokljuka""",300,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V JORDANIJI,država
2021-06-25,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,UDELEŽENKA PROJEKTA SLOVENIJA KVAČKA,protokolarno,neposredno,KVAČKAN GRB REPUBLIKE SLOVENIJE V OKVIRJU,300,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V EGIPTU,država
2022-01-26,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"YOUSUF AHMED ALJABRI, VELEPOSLANIK OMANA",priložnostno,neposredno,PARFUM AMOUAGE CIEL,300,vrednosti z nestrokovno oceno ni mogoče določiti,"sprejem delegacije predstavnikov odbora za nacionalno varnost, obrambo in javni red parlamenta moldavije","organizacija, v kateri funkcionar opravlja funkcijo"
2022-02-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,predsednik Portugalske Republike Marcelo Rebelo de Sousa,protokolarno,posredno,vaza iz porcelana,300,ocena darovalca,zahvala ob odprtju dogodka,funkcionar
2022-03-16,MINISTRSTVO ZA ZUNANJE ZADEVE,Uradna oseba,"MABDELMADJID TEBBOUNE, predsednik ljudske republike alžirije",protokolarno,neposredno,zbirka posrebrenih simbolov v lesenem okvirju,300,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V EGIPTU,država
2022-10-09,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,Uradna oseba,"Primož Roglič, športnik",protokolarno,neposredno,ročna ura znamke tissot,300,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V KAIRU,država
2017-12-04,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,DANIEL ZIMMERMANN,protokolarno,neposredno,DRSALKE CCM JET SPEED (MODEL FT360),300,cena navedena na vstopnici,novoletno darilo zvezi prijateljev mladine slovenije,funkcionar
2017-05-05,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednik vlade kraljevine belgije gospod charles michel,protokolarno,posredno,moška zapestna ura znamke gavox,298,cena navedena na vstopnici,novoletno darilo zvezi prijateljev mladine slovenije,funkcionar
